"ID","영문식별자(Key)","기술명(한국어)","기술명(영어)","타입(Type)","분류(Category)","위력(Power)","명중률(Accuracy)","기본PP","한국어설명(Description Ko)","영어설명(Description En)"
"1","pound","막치기","pound","normal","physical","40","100","35","긴 꼬리나 손 등을 사용하여 상대를 때려서 공격한다.","No additional effect."
"2","karate-chop","태권당수","karate-chop","fighting","physical","50","100","25","날카로운 당수로 상대를 때려서 공격한다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"3","double-slap","연속뺨치기","double-slap","normal","physical","15","85","10","연속 뺨치기로 상대를 때려서 공격한다. 2-5회 동안 연속으로 쓴다.","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"4","comet-punch","연속펀치","comet-punch","normal","physical","18","85","15","노도 같은 펀치로 상대를 세게 때려서 공격한다. 2-5회 동안 연속으로 쓴다.","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"5","mega-punch","메가톤펀치","mega-punch","normal","physical","80","85","20","힘을 담은 펀치로 상대를 공격한다.","No additional effect."
"6","pay-day","고양이돈받기","pay-day","normal","physical","40","100","20","상대의 몸에 돈을 세게 던져서 공격한다. 배틀 후에 돈을 받을 수 있다.","No additional effect."
"7","fire-punch","불꽃펀치","fire-punch","fire","physical","75","100","15","불꽃을 담은 펀치로 상대를 공격한다. 화상 상태로 만들 때가 있다.","Has a 10% chance to burn the target."
"8","ice-punch","냉동펀치","ice-punch","ice","physical","75","100","15","냉기를 담은 펀치로 상대를 공격한다. 얼음 상태로 만들 때가 있다.","Has a 10% chance to freeze the target."
"9","thunder-punch","번개펀치","thunder-punch","electric","physical","75","100","15","전격을 담은 펀치로 상대를 공격한다. 마비 상태로 만들 때가 있다.","Has a 10% chance to paralyze the target."
"10","scratch","할퀴기","scratch","normal","physical","40","100","35","단단하고 뾰족한 날카로운 손톱으로 상대를 할퀴어서 공격한다.","No additional effect."
"11","vice-grip","찝기","vice-grip","normal","physical","55","100","30","상대를 양쪽에서 집어서 데미지를 준다.","No additional effect."
"12","guillotine","가위자르기","guillotine","normal","physical","","30","5","큰 집게로 상대를 베어 갈라 공격한다. 맞으면 일격에 기절한다.","Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune."
"13","razor-wind","칼바람","razor-wind","normal","special","80","100","10","바람의 칼날을 만들어 2턴째에 상대를 공격한다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn."
"14","swords-dance","칼춤","swords-dance","normal","status","","","20","싸움의 춤을 격렬하게 추며 기세를 높인다. 자신의 공격을 크게 올린다.","Raises the user's Attack by 2 stages."
"15","cut","풀베기","cut","normal","physical","50","95","30","낫이나 발톱 등으로 상대를 베어 공격한다. 가느다란 나무도 자를 수 있다.","No additional effect."
